"","trending_date","title","channel_title","category_id","publish_time","tags","views","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","video_error_or_removed"
"431","18.08.03","Max boldly predicts Anthony Davis will overtake LeBron James next season | First Take | ESPN","ESPN",17,"2018-03-07T16:01:35.000Z","espn|espn live|max|boldly|preidcts|anthony|davis|will|overtake|lebron|james|lebron james|anthony davis|best in the nba|best nba players|nba players|first take|first take espn|espn first take|first take daily|first take today|first take nba|nba first take|stephen a smith|stephen a. smith|stephen a|stephen a.|stephen a nba",405781,3802,688,2529,"https://i.ytimg.com/vi/DJMyDoYkioY/default.jpg","False","False","False"
"432","18.08.03","Cut for Time: Star Warriors - SNL","Saturday Night Live",24,"2018-03-04T07:18:07.000Z","SNL|Saturday Night Live|SNL Season 43|Episode 1739|Charles Barkley|J.J. Abrams|Alex Moffat|Mikey Day|Kate McKinnon|Pete Davidson|Kenan Thompson|Star Wars|Mos Eisley|s43|s43e14|episode 14|live|new york|comedy|sketch|funny|hilarious|late night|host|music|guest|laugh|impersonation|actor|improv|musician|charles barkley|basketball|NBA|Philadelphia 76ers|Phoenix Suns|Houston Rockets|Migos|Quavo|Offset|Takeoff|bad and boujee|stir fry",1534061,19040,1493,1352,"https://i.ytimg.com/vi/kFSm6gany_Q/default.jpg","False","False","False"
"433","18.08.03","A Friendly Arctic Fox Greets Explorers | National Geographic","National Geographic",15,"2018-03-03T00:00:01.000Z","national geographic|nat geo|natgeo|animals|wildlife|science|explore|discover|survival|nature|documentary|Canada|Arctic Fox|Explorers|PLivjPDlt6ApRfQqtRw7JkGCLvezGeMBB2|PLivjPDlt6ApRiBHpsyXWG22G8RPNZ6jlb|PLivjPDlt6ApS5FeUq8c-I7WWPVx3W0blc|Friendly Arctic Fox Greets Explorers|Fox Greets Explorers|frozen landscape|Canadian Arctic|human visitor|Canadian|Arctic|curious|Fox Greets|human|frozen|landscape|very curious about one human visitor",449483,10919,124,815,"https://i.ytimg.com/vi/C7mxTEskjQg/default.jpg","False","False","False"
"434","18.08.03","Made in Miami (Artist Spotlight Story) - Camila Cabello","Camila Cabello",10,"2018-02-27T16:00:06.000Z","camila cabello|camila|youtube music|documentary|music doc|camilla|cabello|havana|never be the same|music video|doc|camila doc|camila vlog|vlogger",1289726,135028,1316,10278,"https://i.ytimg.com/vi/73_OWzBr8Fo/default.jpg","False","False","False"
"435","18.09.03","Jalen Rose on LeBron James: He's actually gotten better at basketball | First Take | ESPN","ESPN",17,"2018-03-08T16:00:13.000Z","espn|espn live|lebron|james|lebron james|lebron james interview|jalen rose|first take|jalen rose nba|jalen rose first take|jalen rose cavs|lebron james postgame|lebron james first take|stephen a smith|stephen a. smith|stephen a|stephen a.|first take espn|espn first take|first take daily|first take today",264122,2192,103,993,"https://i.ytimg.com/vi/2A4ZlxAk8dQ/default.jpg","False","False","False"
"436","18.09.03","Cut for Time: Star Warriors - SNL","Saturday Night Live",24,"2018-03-04T07:18:07.000Z","SNL|Saturday Night Live|SNL Season 43|Episode 1739|Charles Barkley|J.J. Abrams|Alex Moffat|Mikey Day|Kate McKinnon|Pete Davidson|Kenan Thompson|Star Wars|Mos Eisley|s43|s43e14|episode 14|live|new york|comedy|sketch|funny|hilarious|late night|host|music|guest|laugh|impersonation|actor|improv|musician|charles barkley|basketball|NBA|Philadelphia 76ers|Phoenix Suns|Houston Rockets|Migos|Quavo|Offset|Takeoff|bad and boujee|stir fry",1610950,19785,1557,1421,"https://i.ytimg.com/vi/kFSm6gany_Q/default.jpg","False","False","False"
"437","18.09.03","A Friendly Arctic Fox Greets Explorers | National Geographic","National Geographic",15,"2018-03-03T00:00:01.000Z","national geographic|nat geo|natgeo|animals|wildlife|science|explore|discover|survival|nature|documentary|Canada|Arctic Fox|Explorers|PLivjPDlt6ApRfQqtRw7JkGCLvezGeMBB2|PLivjPDlt6ApRiBHpsyXWG22G8RPNZ6jlb|PLivjPDlt6ApS5FeUq8c-I7WWPVx3W0blc|Friendly Arctic Fox Greets Explorers|Fox Greets Explorers|frozen landscape|Canadian Arctic|human visitor|Canadian|Arctic|curious|Fox Greets|human|frozen|landscape|very curious about one human visitor",488643,11587,134,863,"https://i.ytimg.com/vi/C7mxTEskjQg/default.jpg","False","False","False"
"438","18.09.03","Made in Miami (Artist Spotlight Story) - Camila Cabello","Camila Cabello",10,"2018-02-27T16:00:06.000Z","camila cabello|camila|youtube music|documentary|music doc|camilla|cabello|havana|never be the same|music video|doc|camila doc|camila vlog|vlogger",1369387,138077,1470,10380,"https://i.ytimg.com/vi/73_OWzBr8Fo/default.jpg","False","False","False"
"439","18.10.03","Jalen Rose on LeBron James: He's actually gotten better at basketball | First Take | ESPN","ESPN",17,"2018-03-08T16:00:13.000Z","espn|espn live|lebron|james|lebron james|lebron james interview|jalen rose|first take|jalen rose nba|jalen rose first take|jalen rose cavs|lebron james postgame|lebron james first take|stephen a smith|stephen a. smith|stephen a|stephen a.|first take espn|espn first take|first take daily|first take today",349124,2588,165,1167,"https://i.ytimg.com/vi/2A4ZlxAk8dQ/default.jpg","False","False","False"
"440","18.10.03","Cut for Time: Star Warriors - SNL","Saturday Night Live",24,"2018-03-04T07:18:07.000Z","SNL|Saturday Night Live|SNL Season 43|Episode 1739|Charles Barkley|J.J. Abrams|Alex Moffat|Mikey Day|Kate McKinnon|Pete Davidson|Kenan Thompson|Star Wars|Mos Eisley|s43|s43e14|episode 14|live|new york|comedy|sketch|funny|hilarious|late night|host|music|guest|laugh|impersonation|actor|improv|musician|charles barkley|basketball|NBA|Philadelphia 76ers|Phoenix Suns|Houston Rockets|Migos|Quavo|Offset|Takeoff|bad and boujee|stir fry",1662707,20210,1599,1474,"https://i.ytimg.com/vi/kFSm6gany_Q/default.jpg","False","False","False"
